acdc_name,RV,Myo,LV
patient001_frame01,0.6428219529017637,0.3050668077788067,0.7922227005309227
patient002_frame01,0.7252021409862203,0.4,0.9001640958319659
patient003_frame01,0.6976985040276179,0.4431137724550898,0.8367685589519651
patient004_frame01,0.2404438964241677,0.5875049914691255,0.8043272592653531
patient005_frame01,0.7202105263157895,0.6436974049433846,0.8968386614985242
patient006_frame01,0.0,0.0,0.0
patient007_frame01,0.7162724355164626,0.4921361955741957,0.9058036521424696
patient008_frame01,0.0,0.6113790970933828,0.8254911356013417
patient009_frame01,0.3947019867549668,0.6441833034817177,0.9060870790474848
patient010_frame01,0.199013833721408,0.2838744735769596,0.8560929438402435
patient011_frame01,0.5882053025152957,0.5412820837021115,0.8824109280383045
patient012_frame01,0.6078175895765472,0.2786954680220245,0.8560857746904259
patient013_frame01,0.0,0.0,0.0
patient014_frame01,0.0,0.0004103574213139,0.0
patient015_frame01,0.5655441454879239,0.3578842405837828,0.904862773991527
patient016_frame01,0.0,0.3153528915549723,0.5069498544425766
patient017_frame01,0.7608685998490163,0.1753961664801646,0.8665098160219077
patient018_frame01,0.0,0.4265600175313647,0.8819785941567834
patient019_frame01,0.0,0.0555671985868686,0.8931967812728603
patient020_frame01,0.0,0.2768039811998894,0.8494147212485946
patient021_frame01,0.0,0.7146026508902668,0.8968666351755629
patient022_frame01,0.6369392428937087,0.2350023460017427,0.8429211578054984
patient023_frame01,0.0,0.5955338181350152,0.8187655615253571
patient024_frame01,0.6835986858731362,0.6290690104166666,0.8459024331194771
patient025_frame01,0.6932599724896836,0.2958498224251649,0.8727074829931972
patient026_frame01,0.0,0.5813257174443779,0.8697039531997872
patient027_frame01,0.0,0.1218074046488533,0.8591114902552661
patient028_frame01,0.8495638495638496,0.5072001379667155,0.8588788710309683
patient029_frame01,0.0,0.4328188546745143,0.853236098450319
patient030_frame01,0.0,0.6948467249871352,0.7543909348441926
patient031_frame01,0.5863443649939885,0.5206505601295721,0.7941836070317586
patient032_frame01,0.6298772577587067,0.6884669878152451,0.8628602333307579
patient033_frame01,0.3720854394260557,0.4675488955920988,0.754267365218861
patient034_frame01,0.7559444550123645,0.4631062464615965,0.8257279443720121
patient035_frame01,0.4843570425233048,0.0496996996996997,0.6399942946797889
patient036_frame01,0.7414703493095045,0.487000634115409,0.8679775280898876
patient037_frame01,0.0,0.0,0.0
patient038_frame01,0.7514207988795216,0.5725392886683209,0.8964075356323906
patient039_frame01,0.3465003465003465,0.2636056780875757,0.6531306990881459
patient040_frame01,0.0349220898258478,0.5697589942828264,0.8301569077688481
patient041_frame01,0.0,0.3215661103979461,0.7364199781261392
patient042_frame01,0.8210372534696859,0.4772089292875284,0.8826913856480741
patient043_frame01,0.0,0.0665055163009793,0.0
patient044_frame01,0.0,0.2753459364646268,0.8679828950959876
patient045_frame01,0.0,0.0336465324384787,0.4767091723180854
patient046_frame01,0.75859375,0.56938190749079,0.904494056248188
patient047_frame01,0.0414431471547281,0.0948753462603878,0.0
patient048_frame01,0.7442129629629629,0.4397334252556589,0.8752041054350361
patient049_frame01,0.1797752808988764,0.0,0.0
patient050_frame01,0.586239396795476,0.1925104022191401,0.674555060502033
patient051_frame01,0.0,0.0,0.0
patient052_frame01,0.0,0.1332514583972981,0.0
patient053_frame01,0.0,0.557032617858764,0.9228520976679048
patient054_frame01,0.0,0.08697197053558,0.0
patient055_frame01,0.7962856438491248,0.5147164969123426,0.8712898186510901
patient056_frame01,0.8174298971151907,0.5554900032776139,0.8599935972681677
patient057_frame01,0.0,0.5859188544152745,0.8404457478005866
patient058_frame01,0.7944373714621487,0.5437667230928849,0.828732956434985
patient059_frame01,0.798592892916766,0.5919778699861687,0.8811455260570304
patient060_frame01,0.0,0.0011039636541196,0.0
patient061_frame01,0.0,0.578054690204223,0.8732675906183369
patient062_frame01,0.8590230321437611,0.5375119719059275,0.924240726213157
patient063_frame01,0.5512689199954478,0.1596267190569744,0.6170421155729677
patient064_frame01,0.8020470138342144,0.6545348667928373,0.8784100909357583
patient065_frame01,0.808734423230822,0.6624493106244931,0.8736386301010366
patient066_frame01,0.0,0.5549295774647888,0.8835966266777527
patient067_frame01,0.8319158806247101,0.6502835538752363,0.9038761706555672
patient068_frame01,0.2544970019986675,0.1397596656217345,0.615216201423098
patient069_frame01,0.4393918641282016,0.1595591758505031,0.0
patient070_frame01,0.7994904458598726,0.3918655625913297,0.8092263334935127
patient071_frame01,0.8263525305410122,0.4602794633413127,0.8884423726089054
patient072_frame01,0.0,0.4013677012098895,0.7746700971034941
patient073_frame01,0.4568205851251322,0.1647179750738789,0.6038504500952756
patient074_frame01,0.7760450046286406,0.6401227880101119,0.8265595031509727
patient075_frame01,0.6065820988201899,0.424459786604501,0.7086606192672174
patient076_frame01,0.7670235845755476,0.6387387387387388,0.8293083021963
patient077_frame01,0.7976771483289059,0.294595221526328,0.8573632538569425
patient078_frame01,0.7558051489146895,0.5348860862489829,0.8910152990264256
patient079_frame01,0.823202982745166,0.6038612087839182,0.8589019144808974
patient080_frame01,0.8083134763039449,0.5736111111111111,0.856768701915207
patient081_frame01,0.0,0.0004732607666824,0.0
patient082_frame01,0.7485740153915799,0.5127458763341272,0.8875950570342205
patient083_frame01,0.6950503018108652,0.6061016949152542,0.8374310085298545
patient084_frame01,0.1442465580396615,0.4646914338348173,0.8736149896405729
patient085_frame01,0.7726199147959296,0.5883413780300217,0.8260464203346582
patient086_frame01,0.6847019391908068,0.4212553818264219,0.8038538970376762
patient087_frame01,0.4286416113976909,0.4517663043478261,0.7680415993254164
patient088_frame01,0.5368986325638044,0.434602592818842,0.7816345676287181
patient089_frame01,0.0,0.5947227986955232,0.9061870503597124
patient090_frame04,0.6581057454633147,0.1541782300339192,0.0
patient091_frame01,0.6497305619707467,0.5012068720715604,0.732074569789675
patient092_frame01,0.6134700495157969,0.5047300525561396,0.7570859333884671
patient093_frame01,0.7013926709717576,0.44173949230129,0.6944538574494522
patient094_frame01,0.6373718791064389,0.144306131857999,0.0
patient095_frame01,0.0,0.5080640532629284,0.864407716544138
patient096_frame01,0.8059744863859588,0.2211569585523375,0.8736425454176393
patient097_frame01,0.0,0.5953445065176909,0.8775018532246108
patient098_frame01,0.7904105267901401,0.5920816403666257,0.8993963782696177
patient099_frame01,0.6228519097128696,0.4915947700791603,0.8821996027805362
patient100_frame01,0.7015370671097851,0.0810936051899907,0.0
patient101_frame01,0.0,0.0,0.0
patient102_frame01,0.42845528455284554,0.0,0.0
patient103_frame01,0.0,0.0,0.0
patient104_frame01,0.0,0.46549409237379163,0.7608332066291622
patient105_frame01,0.0,0.49759122875020767,0.7459344174886697
patient106_frame01,0.5846428173409116,0.49882174078297226,0.8837703455016787
patient107_frame01,0.0,0.3660123449924929,0.7854689110271385
patient108_frame01,0.7593264624764117,0.3716686674669868,0.8537234042553191
patient109_frame01,0.6575751118687406,0.5965587260874212,0.8097777777777778
patient110_frame01,0.5622195694232907,0.0,0.0
patient111_frame01,0.4362729146328235,0.716953437168719,0.8494029190623618
patient112_frame01,0.0,0.4223783541370805,0.8664159727818068
patient113_frame01,0.0,0.5328598870714244,0.8905248159582047
patient114_frame01,0.0,0.18308018208861046,0.7873408642639412
patient115_frame01,0.8536430566133536,0.5143705690745354,0.8515250038705682
patient116_frame01,0.0,0.0,0.0
patient117_frame01,0.0,0.4526032823995473,0.9186092730716173
patient118_frame01,0.7857493054420657,0.5323696277298515,0.8704259967231022
patient119_frame01,0.0,0.12316404176251991,0.0
patient120_frame01,0.45815869345281107,0.2346852965909826,0.4886423028987255
patient121_frame01,0.6851669501387522,0.6546498277841561,0.8756643722227063
patient122_frame01,0.32593548387096777,0.3267077267637178,0.8830891511952073
patient123_frame01,0.6421860019175455,0.6653401553913209,0.7702430223920195
patient124_frame01,0.5265259778395521,0.0008852168781351431,0.0
patient125_frame01,0.5546850517079286,0.15866342111086523,0.8029054337197933
patient126_frame01,0.0,0.0,0.0
patient127_frame01,0.6359238382672762,0.4143429195485985,0.797147102526003
patient128_frame01,0.7897576294387632,0.35215198550653676,0.8361194456350908
patient129_frame01,0.37379008876399483,0.25588145071851626,0.8019978594363182
patient130_frame01,0.0,0.5673349853570624,0.8662061636556855
patient131_frame01,0.7418490218826259,0.5156291042815866,0.8795842739702687
patient132_frame01,0.0,0.41950140255225,0.9149327868283025
patient133_frame01,0.703443976936263,0.33386126069052896,0.9206890999838996
patient134_frame01,0.36404215046472865,0.13260298984366084,0.0
patient135_frame01,0.0,0.5291444063471813,0.9041828484115363
patient136_frame01,0.5322503583373148,0.34757281553398056,0.7742354243824214
patient137_frame01,0.0,0.5648900573613767,0.7847442935567756
patient138_frame01,0.0,0.7136640557006092,0.7912882745318653
patient139_frame01,0.5194149528547034,0.3152072408591337,0.6649038461538461
patient140_frame01,0.7472834588191127,0.4093099712332349,0.6600886779491663
patient141_frame01,0.0,0.562078788299868,0.7881534734703446
patient142_frame01,0.0,0.3985721818845577,0.6348164855443921
patient143_frame01,0.6352732724546818,0.38080586560178065,0.8812205390234249
patient144_frame01,0.6302994367032315,0.5607068400675072,0.8115886415963162
patient145_frame01,0.5674192867693606,0.374332185682061,0.7713140636385718
patient146_frame01,0.7207262845849802,0.5345053589328399,0.8652135533374075
patient147_frame01,0.6579328527023288,0.0,0.0
patient148_frame01,0.0,0.4422582646459275,0.7092198581560284
patient149_frame01,0.7945924362557755,0.40366457229105973,0.8229988726042841
patient150_frame01,0.4858928571428571,0.0,0.0
