acdc_name,RV,Myo,LV
patient001_frame12,0.5669882100750268,0.2102425876010781,0.7533323913145872
patient002_frame12,0.4298190892077355,0.4494991652754591,0.8232839972186351
patient003_frame15,0.71353226925746,0.5409651138500104,0.8196392785571143
patient004_frame15,0.0,0.0,0.0
patient005_frame13,0.5373904074265085,0.6529676338301438,0.8447409126063419
patient006_frame16,0.0,0.0,0.0
patient007_frame07,0.5980558555778429,0.399292371418709,0.8094029850746268
patient008_frame13,0.0,0.5734606787238367,0.7989661759748287
patient009_frame13,0.0,0.606938775510204,0.8314439695223936
patient010_frame13,0.0,0.2930964052287582,0.8569834320542535
patient011_frame08,0.5672286184210527,0.5054070597837176,0.8547518055714777
patient012_frame13,0.1556546412646939,0.2640664119119779,0.7312335229637852
patient013_frame14,0.5610782460206135,0.5342165713980448,0.8603805858456275
patient014_frame13,0.0,0.43915802931373,0.767757106300574
patient015_frame10,0.3323464100666173,0.4013008130081301,0.8300242130750606
patient016_frame12,0.0,0.4144820028660541,0.5881089440673597
patient017_frame09,0.6744454713493531,0.4236742111349744,0.8084645112640211
patient018_frame10,0.556966806742528,0.0,0.0
patient019_frame11,0.0,0.0,0.0
patient020_frame11,0.0,0.0009724998649305,0.0
patient021_frame13,0.0,0.7148982957669049,0.7491486946651532
patient022_frame11,0.35317833624512834,0.4352653786364646,0.7271084337349397
patient023_frame09,0.4526840066408412,0.0,0.0
patient024_frame09,0.33617234468937873,0.7329557674385261,0.8237347294938918
patient025_frame09,0.0,0.6749092336375233,0.6565617805065234
patient026_frame12,0.0,0.7045356371490281,0.6682514527205494
patient027_frame11,0.0,0.6856609410007468,0.640034926871862
patient028_frame09,0.48342843268180163,0.7046084915724344,0.7352517985611511
patient029_frame12,0.0,0.16522936878668104,0.0
patient030_frame12,0.0,0.688873858640514,0.6095423563777994
patient031_frame10,0.0,0.6067133659958699,0.667610953729934
patient032_frame12,0.0,0.7262674849339305,0.5777572681125981
patient033_frame14,0.05755395683453238,0.38756312506188734,0.4117268041237113
patient034_frame16,0.0,0.29516338655774227,0.4663337351472361
patient035_frame11,0.20326223337515684,0.0,0.0
patient036_frame12,0.5793752674368849,0.6291747242983328,0.7754705996506889
patient037_frame12,0.0,0.002342263211828429,0.0
patient038_frame11,0.5312917297249177,0.6181874392721491,0.7920595533498759
patient039_frame10,0.0,0.0,0.0
patient040_frame13,0.0,0.502078837955897,0.7742660486023318
patient041_frame11,0.17233809001097694,0.26366149266425687,0.6542847833170414
